Dest,Dest_airport,Dest_city,Dest_lat,Dest_long,TotalFlights
ABE,Lehigh Valley International,Allentown,40.65236278,-75.44040167,4795
ABI,Abilene Regional,Abilene,32.41132,-99.68189722,2661
ABQ,Albuquerque International,Albuquerque,35.04022222,-106.6091944,41144
ABY,Southwest Georgia Regional,Albany,31.535515,-84.19447333,1095
ACK,Nantucket Memorial,Nantucket,41.25305194,-70.06018139,469
ACT,Waco Regional,Waco,31.61128833,-97.23051917,1994
ACV,Arcata,Arcata/Eureka,40.97811528,-124.1086189,3702
ACY,Atlantic City International,Atlantic City,39.45758333,-74.57716667,113
ADK,Adak,Adak,51.87796389,-176.6460306,102
ADQ,Kodiak ,Kodiak,57.74996778,-152.4938553,706
AEX,Alexandria International,Alexandria,31.32737167,-92.54855611,2327
AGS,Bush ,Augusta,33.369955,-81.96449611,2406
AKN,King Salmon,King Salmon,58.67680167,-156.6492175,116
ALB,Albany Cty,Albany,42.74811944,-73.80297861,13468
ALO,Waterloo Municipal,Waterloo,42.55708139,-92.40034361,323
AMA,Amarillo International,Amarillo,35.2193725,-101.7059272,7490
ANC,Ted Stevens Anchorage International,Anchorage,61.17432028,-149.9961856,19329
ASE,Aspen-Pitkin Co/Sardy ,Aspen,39.22316,-106.868845,5243
ATL,William B Hartsfield-Atlanta Intl,Atlanta,33.64044444,-84.42694444,414521
ATW,Outagamie County Regional,Appleton,44.25740806,-88.51947556,5872
AUS,Austin-Bergstrom International,Austin,30.19453278,-97.66987194,49637
AVL,Asheville Regional,Asheville,35.43619444,-82.54180556,4398
AVP,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,41.33814944,-75.7242675,2384
AZO,Kalamazoo County,Kalamazoo,42.234875,-85.5520575,3921
BDL,Bradley International,Windsor Locks,41.93887417,-72.68322833,29445
BET,Bethel,Bethel,60.77977639,-161.8379975,1035
BFL,Meadows ,Bakersfield,35.43359806,-119.0567681,4499
BGM,Binghamton Regional,Binghamton,42.20848278,-75.97961361,728
BGR,Bangor International,Bangor,44.80744444,-68.82813889,2877
BHM,Birmingham International,Birmingham,33.56294306,-86.75354972,23679
BIL,Billings Logan Intl,Billings,45.8076625,-108.5428611,4509
BIS,Bismarck Municipal,Bismarck,46.77411111,-100.7467222,2292
BJI,Bemidji-Beltrami County,Bemidji,47.50942417,-94.93372333,74
BLI,Bellingham Intl,Bellingham,48.79275,-122.5375278,121
BMI,Central Illinois Regional,Bloomington,40.47798556,-88.91595278,4799
BNA,Nashville International,Nashville,36.12447667,-86.67818222,57544
BOI,Boise Air Terminal,Boise,43.56444444,-116.2227778,17023
BOS,Gen Edw L Logan Intl,Boston,42.3643475,-71.00517917,117944
BPT,Southeast Texas Regional,Beaumont/Port Arthur,29.95083333,-94.02069444,275
BQK,Glynco Jetport,Brunswick,31.25902778,-81.46630556,924
BQN,Rafael Hernandez,Aguadilla,18.49486111,-67.12944444,1519
BRO,Brownsville/S.Padre Island International,Brownsville,25.90683333,-97.42586111,1465
BRW,Wiley Post Will Rogers Memorial,Barrow,71.2854475,-156.7660019,728
BTM,Bert Mooney,Butte,45.95479528,-112.49746,705
BTR,"Baton Rouge Metropolitan, Ryan ",Baton Rouge,30.53316083,-91.14963444,8939
BTV,Burlington International,Burlington,44.47300361,-73.1503125,7006
BUF,Buffalo Niagara Intl,Buffalo,42.94052472,-78.73216667,26277
BUR,Burbank-Glendale-Pasadena,Burbank,34.20061917,-118.3584969,31403
BWI,Baltimore-Washington International,Baltimore,39.17540167,-76.66819833,104068
BZN,Gallatin ,Bozeman,45.77690139,-111.1530072,4650
CAE,Columbia Metropolitan,Columbia,33.93884,-81.11953944,10552
CAK,Akron-Canton Regional,Akron,40.91631194,-81.44246556,8993
